item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,champlvl,pinksbought,firstblood,win
2302,3504,3117,0,3050,0,1,4,20,0,1,0,391,0,0,0,0,8764,4754,3751,258,133,3534,5891,7,0,0,0,0,0,9709,4059,5521,128,9300,7500,2,1,4,0,14,0,0,1
1054,3146,3020,1033,3108,1026,3,6,6,2,1,1,409,0,0,0,0,81386,31052,48985,1348,0,13280,5789,1,0,0,0,0,0,18327,8216,9526,584,9803,7300,3,1,118,5,13,0,0,1
3020,3027,2031,3157,1058,1026,3,7,7,2,1,1,694,0,0,0,0,111586,100918,9589,1078,0,19822,2077,1,0,0,0,0,0,20965,8237,12142,586,9844,9525,1,0,164,0,13,1,1,0
3153,3071,3006,1055,0,0,7,8,4,2,2,2,357,1,0,0,0,67874,1689,66065,119,0,15987,2588,4,0,0,0,0,0,21363,6067,14664,632,9325,8200,0,0,123,1,12,0,0,0
3401,3107,2049,3009,3082,0,4,6,7,3,1,1,769,0,0,0,0,20844,6951,8382,5510,0,7879,3846,7,0,0,0,0,0,21278,6838,14100,340,8074,7750,1,0,28,1,11,4,0,0
3074,3047,3044,3067,1055,1036,3,4,3,2,1,1,737,0,0,0,0,106481,1443,101678,3360,0,10368,4893,1,0,0,0,0,0,28563,6247,21279,1037,8657,7775,0,0,189,0,13,1,0,0
3153,3052,0,0,3111,1419,3,7,3,0,1,0,725,0,0,0,0,99667,25937,64136,9594,0,10176,12963,1,0,0,0,0,0,28531,5576,22729,226,8685,8475,1,0,32,68,13,0,0,0
3301,3114,2049,2055,0,1001,0,1,2,0,0,0,750,0,0,0,0,5635,3555,2080,0,0,1497,1039,5,0,0,0,0,0,6011,1910,4101,0,3129,2525,0,0,6,0,8,1,0,0
0,3144,1043,3006,0,0,2,2,0,2,2,1,679,1,0,0,0,33907,501,33405,0,0,7118,388,2,0,0,0,0,0,5011,1336,3675,0,4559,3875,0,0,97,0,8,1,0,0
1038,3134,3047,1055,0,0,4,2,1,3,1,1,425,0,0,0,0,39164,2158,36962,44,0,6930,485,1,0,0,0,0,0,8049,1700,5601,747,5135,4200,0,0,92,0,10,0,0,0
1082,2003,0,0,0,0,0,1,0,0,0,0,412,0,0,0,0,1542,942,600,0,0,262,0,0,0,0,0,0,0,997,573,368,56,2147,500,0,0,6,0,3,0,0,0
1419,1001,0,0,0,1033,1,5,2,0,1,0,205,0,0,0,0,47219,12633,26117,8468,0,4538,7037,1,0,0,0,0,0,13299,3398,9608,292,3875,3575,0,0,5,39,8,0,0,0
1001,1056,3146,3100,2010,2055,7,0,1,7,2,1,0,2,0,0,0,62883,48115,13299,1467,0,7820,2646,1,0,0,0,0,0,6107,1203,4679,224,8205,7750,4,1,107,0,10,2,0,1
1001,3508,2003,1042,0,0,0,1,2,0,0,0,658,0,0,0,0,34656,0,34440,216,0,4927,791,2,0,0,0,0,0,4523,292,4231,0,4784,4350,0,0,78,0,7,0,0,1
3302,2049,2010,3047,3801,0,0,1,2,0,0,0,656,0,0,0,0,6069,1386,4594,87,0,1264,1070,4,0,0,0,0,0,4871,643,4227,0,3613,3250,0,0,11,0,7,0,0,1
3047,3024,2033,3057,1028,0,2,3,2,2,1,1,276,0,0,0,0,24405,5088,18821,495,0,4229,0,0,0,0,0,0,0,8517,1217,6979,320,5307,4125,1,0,63,0,9,1,0,1
3047,1419,1043,0,0,0,2,2,0,0,1,0,440,0,0,0,0,55780,464,49199,6117,0,2298,3412,1,0,0,0,0,0,7862,1415,6429,18,5469,4725,0,0,10,47,9,0,1,1
3022,3031,3047,0,3046,0,8,7,8,3,2,3,723,2,0,0,0,107069,7487,98598,983,480,14940,2748,1,0,0,0,0,0,19989,9088,10079,822,10966,10875,0,0,162,10,14,1,0,0
1038,1036,3031,3006,3046,1053,6,7,6,3,1,1,385,0,0,0,0,144595,473,142089,2032,815,21144,1800,4,0,0,0,0,0,18667,6099,12439,128,11763,10450,0,0,165,22,14,0,0,0
1401,2031,3111,3742,3194,1029,4,4,15,3,1,1,593,0,0,0,0,112611,79605,22445,10561,459,16012,13051,1,0,0,0,0,0,31901,10108,21111,682,10121,10025,0,0,42,74,14,2,0,0
3157,2033,3158,3100,3027,0,6,10,7,0,1,0,284,0,0,0,0,83716,59515,23819,382,0,13708,2424,1,0,0,0,0,0,24121,9693,13899,528,10788,10350,1,0,155,9,14,2,0,0
2301,3158,3114,3504,3801,0,1,6,13,0,1,0,372,0,0,0,0,16025,10205,5820,0,0,5180,5961,10,0,0,0,0,0,18610,9420,8983,206,7823,7225,0,0,7,0,12,1,0,0
3107,3069,0,3117,3050,0,2,5,21,0,1,0,832,0,0,0,0,23279,16562,5752,964,221,8897,6743,6,0,0,0,0,0,14264,4195,8693,1376,9436,7925,0,0,11,1,13,1,0,1
1055,3508,3047,2031,3085,3031,9,3,11,4,1,2,741,0,0,0,0,156541,0,155423,1118,845,28885,1850,1,0,0,0,0,0,16449,4641,11562,245,13047,11150,1,0,192,6,14,0,0,1
3102,3157,1052,3020,3100,1056,17,8,5,4,3,6,490,2,1,0,0,101277,78412,22011,854,380,33790,2885,1,0,0,0,0,0,22214,8721,12263,1230,13099,11335,2,0,124,7,14,0,1,1
3153,3748,0,0,3111,1419,5,4,9,3,1,1,846,0,0,0,0,158455,34662,111847,11946,0,10949,16549,1,0,0,0,0,0,30606,5349,24798,458,12000,10775,2,0,61,82,15,0,0,1
